Date,000001_Assets,600036_Assets,600519_Assets,600837_Assets,600309_Assets,000001_Pr,600036_Pr,600519_Pr,600837_Pr,600309_Pr
2018-08-21,10000,10000,10000,10000,10000,0.0,0.0,0.0,0.0,0.0
2018-08-22,10065,9978,9944,9930,10073,0.48,-0.16,-0.41,-0.51,0.54
2018-08-23,10141,10074,9981,10012,9958,1.04,0.54,-0.14,0.09,-0.31
2018-08-24,10867,10221,9833,10070,9875,6.37,1.62,-1.23,0.51,-0.92
2018-08-27,11300,10531,10235,10198,10295,9.55,3.9,1.73,1.45,2.17
2018-08-28,11148,10561,10142,10175,10436,8.43,4.12,1.04,1.29,3.2
2018-08-29,11127,10613,10214,10128,10322,8.28,4.5,1.57,0.94,2.36
2018-08-30,10964,10384,10133,10000,10442,7.08,2.82,0.98,0.0,3.25
2018-08-31,10975,10439,9817,9988,10232,7.16,3.22,-1.34,-0.09,1.7
2018-09-03,11040,10384,9921,9942,9981,7.64,2.82,-0.58,-0.43,-0.14
2018-09-04,11300,10568,10053,10058,9853,9.55,4.17,0.39,0.43,-1.08
2018-09-05,10888,10218,9796,9883,9628,6.52,1.6,-1.5,-0.86,-2.73
2018-09-06,10802,10148,9591,9883,9330,5.89,1.09,-3.0,-0.86,-4.92
2018-09-07,10845,10395,9694,9907,9435,6.21,2.9,-2.25,-0.68,-4.15
2018-09-10,10704,10295,9603,9639,9062,5.17,2.17,-2.92,-2.65,-6.89
2018-09-11,10737,10111,9620,9720,8568,5.41,0.82,-2.79,-2.06,-10.52
2018-09-12,10704,10111,9382,9814,8603,5.17,0.82,-4.54,-1.37,-10.26
2018-09-13,10791,10244,9412,10000,8717,5.81,1.79,-4.32,0.0,-9.42
2018-09-14,10661,10288,9574,10000,8757,4.85,2.12,-3.13,0.0,-9.13
2018-09-17,10498,10129,9618,9988,8277,3.66,0.95,-2.81,-0.09,-12.65
2018-09-18,10921,10399,9929,10152,8636,6.76,2.93,-0.52,1.12,-10.02
2018-09-19,11094,10480,10148,10245,8688,8.03,3.53,1.09,1.8,-9.64
2018-09-20,11083,10520,10105,10256,8800,7.95,3.82,0.77,1.88,-8.81
2018-09-21,11560,11181,10425,10524,9062,11.46,8.67,3.12,3.85,-6.89
2018-09-25,11430,10930,10380,10431,8944,10.5,6.83,2.79,3.17,-7.76
2018-09-26,11603,11236,10796,10524,9286,11.77,9.08,5.85,3.85,-5.24
2018-09-27,11636,11229,10782,10431,9286,12.01,9.03,5.74,3.17,-5.24
2018-09-28,11972,11325,10871,10443,8815,14.48,9.73,6.4,3.25,-8.7
2018-10-08,11322,10860,10218,9965,8402,9.71,6.32,1.6,-0.26,-11.74
2018-10-09,11441,10849,10350,9942,8130,10.58,6.24,2.57,-0.43,-13.73
2018-10-10,11322,10923,9992,9907,8142,9.71,6.78,-0.06,-0.68,-13.65
2018-10-11,10683,10498,9605,9231,7659,5.02,3.66,-2.9,-5.65,-17.19
2018-10-12,11159,10760,9948,9091,7825,8.51,5.58,-0.38,-6.68,-15.97
2018-10-15,10953,10605,9932,8963,7798,7.0,4.44,-0.5,-7.62,-16.17
