Date,Assets,Pr
2018-08-21,10000,0.0
2018-08-22,10046,0.34
2018-08-23,10108,0.79
2018-08-24,10004,0.03
2018-08-27,10393,2.89
2018-08-28,10374,2.75
2018-08-29,10333,2.45
2018-08-30,10433,3.18
2018-08-31,10468,3.44
2018-09-03,10559,4.11
2018-09-04,10401,2.94
2018-09-05,10165,1.21
2018-09-06,10063,0.46
2018-09-07,10157,1.15
2018-09-10,10139,1.02
2018-09-11,9566,-3.19
2018-09-12,9604,-2.91
2018-09-13,9616,-2.82
2018-09-14,9598,-2.95
2018-09-17,9432,-4.17
2018-09-18,9822,-1.31
2018-09-19,9805,-1.43
2018-09-20,9806,-1.42
2018-09-21,10097,0.71
2018-09-25,10079,0.58
2018-09-26,10341,2.5
2018-09-27,10322,2.36
2018-09-28,10313,2.3
2018-10-08,9809,-1.4
2018-10-09,9916,-0.62
2018-10-10,9911,-0.65
2018-10-11,9508,-3.61
2018-10-12,9345,-4.81
2018-10-15,9213,-5.78
2018-10-16,9431,-4.18
2018-10-17,9521,-3.52
2018-10-18,9280,-5.29
2018-10-19,9697,-2.23
2018-10-22,9812,-1.38
2018-10-23,9794,-1.51
2018-10-24,9868,-0.97
2018-10-25,9569,-3.17
2018-10-26,9432,-4.17
2018-10-29,9361,-4.69
2018-10-30,8914,-7.98
2018-10-31,9338,-4.86
2018-11-01,9478,-3.83
2018-11-02,9687,-2.3
2018-11-05,9669,-2.43
2018-11-06,9485,-3.78
2018-11-07,9492,-3.73
2018-11-08,9186,-5.98
2018-11-09,9156,-6.2
2018-11-12,9125,-6.43
2018-11-13,9404,-4.38
2018-11-14,9296,-5.17
2018-11-15,9355,-4.74
2018-11-16,9337,-4.87
2018-11-19,9566,-3.19
2018-11-20,9549,-3.31
2018-11-21,9520,-3.53
2018-11-22,9587,-3.03
2018-11-23,9317,-5.02
2018-11-26,9142,-6.3
2018-11-27,9093,-6.66
2018-11-28,9164,-6.14
2018-11-29,9147,-6.26
2018-11-30,9287,-5.24
2018-12-03,9270,-5.36
2018-12-04,9271,-5.35
2018-12-05,9130,-6.39
2018-12-06,8955,-7.67
2018-12-07,8903,-8.06
2018-12-10,8810,-8.74
2018-12-11,8881,-8.22
2018-12-12,8881,-8.22
2018-12-13,8954,-7.68
2018-12-14,8938,-7.8
2018-12-17,8994,-7.39
2018-12-18,8983,-7.47
2018-12-19,8908,-8.02
2018-12-20,8603,-10.26
2018-12-21,8431,-11.52
2018-12-24,8533,-10.77
2018-12-25,8241,-12.92
2018-12-26,8185,-13.33
2018-12-27,8168,-13.45
2018-12-28,8240,-12.93
2019-01-02,8356,-12.07
2019-01-03,8445,-11.42
2019-01-04,8704,-9.52
2019-01-07,8688,-9.64
2019-01-08,8599,-10.29
2019-01-09,8746,-9.21
2019-01-10,8730,-9.33
2019-01-11,8768,-9.05
2019-01-14,8751,-9.17
2019-01-15,9230,-5.65
2019-01-16,9213,-5.78
2019-01-17,9119,-6.47
2019-01-18,9261,-5.43
2019-01-21,9244,-5.55
2019-01-22,9172,-6.08
2019-01-23,9081,-6.75
2019-01-24,9174,-6.07
2019-01-25,9398,-4.42
2019-01-28,9380,-4.55
2019-01-29,9413,-4.31
2019-01-30,9272,-5.35
2019-01-31,9440,-4.11
2019-02-01,9423,-4.24
2019-02-11,9424,-4.23
2019-02-12,9426,-4.22
2019-02-13,9634,-2.69
2019-02-14,9617,-2.81
2019-02-15,9341,-4.84
2019-02-18,9747,-1.86
2019-02-19,9730,-1.98
2019-02-20,9594,-2.98
2019-02-21,9603,-2.92
2019-02-22,9736,-1.94
2019-02-25,9718,-2.07
2019-02-26,9720,-2.06
2019-02-27,9491,-3.74
2019-02-28,9152,-6.23
2019-03-01,9375,-4.59
2019-03-04,9358,-4.71
2019-03-05,9222,-5.71
2019-03-06,9256,-5.46
2019-03-07,9004,-7.31
2019-03-08,8510,-10.94
2019-03-11,8868,-8.31
2019-03-12,8888,-8.17
2019-03-13,8978,-7.51
2019-03-14,8679,-9.7
2019-03-15,8985,-7.45
2019-03-18,9347,-4.8
2019-03-19,9330,-4.92
2019-03-20,9313,-5.05
2019-03-21,9245,-5.54
2019-03-22,9334,-4.89
2019-03-25,8887,-8.17
2019-03-26,8560,-10.58
2019-03-27,8607,-10.23
2019-03-28,8591,-10.35
2019-03-29,8933,-7.84
2019-04-01,8917,-7.95
2019-04-02,8919,-7.94
2019-04-03,8843,-8.5
2019-04-04,8939,-7.79
2019-04-08,8689,-9.63
2019-04-09,8582,-10.41
2019-04-10,8526,-10.83
2019-04-11,8313,-12.39
2019-04-12,8231,-12.99
2019-04-15,8151,-13.58
2019-04-16,8363,-12.02
2019-04-17,8347,-12.14
2019-04-18,8279,-12.64
2019-04-19,8340,-12.19
2019-04-22,8325,-12.3
2019-04-23,8398,-11.77
2019-04-24,8602,-10.27
2019-04-25,8348,-12.13
2019-04-26,8065,-14.21
2019-04-29,8305,-12.45
2019-04-30,8319,-12.35
2019-05-06,8172,-13.42
2019-05-07,8214,-13.12
2019-05-08,8146,-13.62
2019-05-09,7845,-15.83
2019-05-10,8171,-13.43
2019-05-13,8156,-13.54
2019-05-14,8164,-13.48
2019-05-15,8360,-12.04
2019-05-16,8345,-12.15
2019-05-17,8010,-14.61
2019-05-20,8043,-14.37
2019-05-21,8464,-11.28
2019-05-22,8449,-11.39
2019-05-23,8357,-12.07
2019-05-24,8510,-10.94
2019-05-27,8748,-9.19
2019-05-28,8732,-9.31
2019-05-29,8729,-9.33
2019-05-30,8585,-10.39
2019-05-31,8460,-11.31
2019-06-03,8462,-11.3
2019-06-04,8410,-11.68
2019-06-05,8357,-12.07
2019-06-06,8297,-12.51
2019-06-10,8155,-13.55
2019-06-11,8635,-10.02
2019-06-12,8620,-10.13
2019-06-13,8663,-9.82
2019-06-14,8483,-11.14
2019-06-17,8444,-11.43
2019-06-18,8496,-11.05
2019-06-19,8679,-9.7
2019-06-20,8663,-9.82
2019-06-21,8664,-9.81
2019-06-24,8709,-9.48
2019-06-25,8693,-9.6
2019-06-26,8517,-10.89
2019-06-27,8665,-9.8
2019-06-28,8649,-9.92
2019-07-01,8853,-8.42
2019-07-02,8837,-8.54
2019-07-03,8596,-10.31
2019-07-04,8521,-10.86
2019-07-05,8547,-10.67
2019-07-08,8327,-12.29
2019-07-09,8282,-12.62
2019-07-10,8321,-12.33
2019-07-11,8354,-12.09
2019-07-12,8695,-9.58
2019-07-15,8680,-9.69
2019-07-16,8642,-9.97
2019-07-17,8586,-10.38
2019-07-18,8464,-11.28
2019-07-19,8387,-11.85
2019-07-22,8338,-12.21
2019-07-23,8345,-12.15
2019-07-24,8401,-11.74
2019-07-25,8532,-10.78
2019-07-26,8516,-10.9
2019-07-29,8376,-11.93
2019-07-30,8493,-11.07
2019-07-31,8476,-11.19
2019-08-01,8441,-11.45
2019-08-02,8381,-11.89
2019-08-05,8144,-13.63
2019-08-06,8133,-13.71
2019-08-07,8035,-14.43
2019-08-08,8134,-13.7
2019-08-09,8120,-13.81
2019-08-12,8243,-12.9
2019-08-13,8228,-13.01
2019-08-14,8289,-12.57
2019-08-15,8260,-12.78
2019-08-16,8221,-13.07
2019-08-19,8378,-11.91
2019-08-20,8363,-12.02
2019-08-21,8304,-12.46
2019-08-22,8207,-13.17
2019-08-23,8402,-11.74
2019-08-26,8297,-12.51
2019-08-27,8221,-13.07
2019-08-28,8162,-13.5
2019-08-29,8146,-13.62
2019-08-30,8213,-13.12
2019-09-02,8232,-12.98
2019-09-03,8224,-13.04
2019-09-04,8288,-12.57
2019-09-05,8412,-11.66
2019-09-06,8397,-11.77
2019-09-09,8470,-11.24
2019-09-10,8334,-12.24
2019-09-11,8345,-12.15
2019-09-12,8559,-10.58
2019-09-16,8543,-10.7
2019-09-17,8209,-13.15
2019-09-18,8025,-14.5
2019-09-19,8083,-14.08
2019-09-20,8066,-14.2
2019-09-23,8011,-14.61
2019-09-24,8004,-14.66
2019-09-25,8289,-12.57
2019-09-26,8058,-14.26
2019-09-27,8157,-13.54
2019-09-30,8137,-13.68
2019-10-08,8075,-14.14
2019-10-09,8120,-13.81
2019-10-10,8225,-13.04
2019-10-11,8485,-11.13
2019-10-14,8470,-11.24
2019-10-15,8471,-11.23
2019-10-16,8480,-11.16
2019-10-17,8559,-10.58
2019-10-18,8276,-12.66
2019-10-21,8183,-13.34
2019-10-22,8241,-12.92
2019-10-23,8239,-12.93
2019-10-24,8161,-13.51
2019-10-25,8446,-11.41
2019-10-28,8383,-11.88
2019-10-29,8492,-11.07
2019-10-30,8356,-12.07
2019-10-31,8253,-12.83
2019-11-01,8557,-10.6
2019-11-04,8542,-10.71
2019-11-05,8543,-10.7
2019-11-06,8484,-11.13
2019-11-07,8432,-11.52
2019-11-08,8416,-11.63
2019-11-11,8210,-13.15
2019-11-12,8257,-12.8
2019-11-13,8196,-13.25
2019-11-14,8139,-13.67
2019-11-15,8159,-13.52
2019-11-18,8151,-13.58
2019-11-19,8136,-13.69
2019-11-20,7842,-15.85
2019-11-21,7847,-15.81
2019-11-22,7786,-16.26
2019-11-25,7693,-16.94
2019-11-26,7712,-16.8
2019-11-27,7836,-15.89
2019-11-28,7826,-15.97
2019-11-29,7499,-18.37
2019-12-02,7525,-18.18
2019-12-03,7511,-18.28
2019-12-04,7525,-18.18
2019-12-05,7569,-17.85
2019-12-06,7555,-17.96
2019-12-09,7556,-17.95
2019-12-10,7502,-18.35
2019-12-11,7663,-17.16
2019-12-12,7791,-16.22
2019-12-13,7953,-15.03
2019-12-16,8167,-13.46
2019-12-17,8308,-12.43
2019-12-18,8168,-13.45
2019-12-19,8136,-13.69
2019-12-20,8041,-14.39
2019-12-23,8062,-14.23
2019-12-24,8126,-13.76
2019-12-25,8008,-14.63
2019-12-26,8018,-14.56
2019-12-27,8316,-12.37
2019-12-30,8825,-8.63
