Date,Assets,Pr,National_Bonds_Prop,000001_Prop,600036_Prop,600519_Prop,600837_Prop,600309_Prop
2018-08-21,10000,0.0,0.0,0.0,0.0,0.44999998807907104,0.5400000214576721,0.0
2018-08-22,9927,-0.54,0.0,0.0,0.0,0.44999998807907104,0.5400000214576721,0.0
2018-08-23,9988,-0.09,0.0,0.0,0.0,0.4399999976158142,0.550000011920929,0.0
2018-08-24,9956,-0.32,0.0,0.0,0.0,0.44999998807907104,0.550000011920929,0.0
2018-08-27,10210,1.54,0.0,0.0,0.0,0.4399999976158142,0.550000011920929,0.0
2018-08-28,10155,1.14,0.0,0.0,0.0,0.44999998807907104,0.550000011920929,0.0
2018-08-29,10162,1.19,0.0,0.0,0.0,0.44999998807907104,0.5400000214576721,0.0
2018-08-30,10055,0.4,0.0,0.0,0.0,0.44999998807907104,0.5400000214576721,0.0
2018-08-31,9906,-0.69,0.0,0.0,0.0,0.46000000834465027,0.5299999713897705,0.0
2018-09-03,9930,-0.51,0.0,0.0,0.0,0.47999998927116394,0.5199999809265137,0.0
2018-09-04,10053,0.39,0.0,0.0,0.0,0.49000000953674316,0.5099999904632568,0.0
2018-09-05,9837,-1.2,0.0,0.0,0.0,0.5,0.5,0.0
2018-09-06,9733,-1.96,0.0,0.0,0.0,0.5099999904632568,0.47999998927116394,0.0
2018-09-07,9798,-1.48,0.0,0.0,0.0,0.5199999809265137,0.47999998927116394,0.0
2018-09-10,9622,-2.78,0.0,0.0,0.0,0.5199999809265137,0.4699999988079071,0.0
2018-09-11,9668,-2.44,0.0,0.0,0.0,0.5400000214576721,0.46000000834465027,0.0
2018-09-12,9581,-3.08,0.0,0.0,0.0,0.550000011920929,0.4399999976158142,0.0
2018-09-13,9679,-2.36,0.0,0.0,0.0,0.5600000023841858,0.4300000071525574,0.0
2018-09-14,9772,-1.67,0.0,0.0,0.0,0.5799999833106995,0.41999998688697815,0.0
2018-09-17,9790,-1.54,0.0,0.0,0.0,0.5899999737739563,0.4000000059604645,0.0
2018-09-18,10044,0.32,0.0,0.0,0.0,0.6000000238418579,0.4000000059604645,0.0
2018-09-19,10213,1.56,0.0,0.0,0.0,0.6000000238418579,0.38999998569488525,0.0
2018-09-20,10192,1.41,0.0,0.0,0.0,0.6100000143051147,0.3799999952316284,0.0
2018-09-21,10493,3.62,0.0,0.0,0.0,0.6200000047683716,0.3799999952316284,0.0
2018-09-25,10430,3.16,0.0,0.0,0.0,0.6200000047683716,0.3700000047683716,0.0
2018-09-26,10726,5.33,0.0,0.0,0.0,0.6200000047683716,0.3700000047683716,0.0
2018-09-27,10682,5.01,0.0,0.0,0.0,0.6299999952316284,0.36000001430511475,0.0
2018-09-28,10740,5.43,0.0,0.0,0.0,0.6299999952316284,0.36000001430511475,0.0
2018-10-08,10151,1.11,0.0,0.0,0.0,0.6499999761581421,0.3400000035762787,0.0
2018-10-09,10227,1.67,0.0,0.0,0.0,0.6700000166893005,0.33000001311302185,0.0
2018-10-10,9979,-0.15,0.0,0.0,0.0,0.6800000071525574,0.3100000023841858,0.0
2018-10-11,9499,-3.68,0.0,0.0,0.0,0.6899999976158142,0.30000001192092896,0.0
2018-10-12,9691,-2.27,0.0,0.0,0.0,0.6899999976158142,0.30000001192092896,0.0
2018-10-15,9638,-2.66,0.0,0.0,0.0,0.6899999976158142,0.30000001192092896,0.0
2018-10-16,9635,-2.68,0.0,0.0,0.0,0.6800000071525574,0.3100000023841858,0.009999999776482582
2018-10-17,9649,-2.58,0.0,0.0,0.0,0.6899999976158142,0.30000001192092896,0.009999999776482582
2018-10-18,9423,-4.24,0.0,0.0,0.0,0.6899999976158142,0.30000001192092896,0.009999999776482582
2018-10-19,9820,-1.32,0.0,0.0,0.0,0.699999988079071,0.28999999165534973,0.009999999776482582
2018-10-22,10343,2.52,0.0,0.0,0.0,0.7099999785423279,0.2800000011920929,0.009999999776482582
2018-10-23,9752,-1.82,0.0,0.0,0.0,0.7300000190734863,0.25999999046325684,0.009999999776482582
2018-10-24,9781,-1.61,0.0,0.0,0.0,0.75,0.23999999463558197,0.009999999776482582
2018-10-25,9663,-2.47,0.0,0.0,0.0,0.7799999713897705,0.20999999344348907,0.009999999776482582
2018-10-26,9489,-3.75,0.0,0.0,0.0,0.800000011920929,0.1899999976158142,0.009999999776482582
2018-10-29,8713,-9.45,0.0,0.0,0.0,0.8299999833106995,0.1599999964237213,0.009999999776482582
