Date,Assets,Pr
2018-08-21,10000,0.0
2018-08-22,9994,-0.04
2018-08-23,10024,0.18
2018-08-24,10140,1.03
2018-08-27,10421,3.09
2018-08-28,10406,2.98
2018-08-29,10397,2.92
2018-08-30,10319,2.34
2018-08-31,10240,1.76
2018-09-03,10210,1.54
2018-09-04,10301,2.21
2018-09-05,10069,0.51
2018-09-06,9957,-0.32
2018-09-07,10044,0.32
2018-09-10,9879,-0.89
2018-09-11,9782,-1.6
2018-09-12,9759,-1.77
2018-09-13,9852,-1.09
2018-09-14,9875,-0.92
2018-09-17,9740,-1.91
2018-09-18,9998,-0.01
2018-09-19,10100,0.73
2018-09-20,10122,0.9
2018-09-21,10448,3.29
2018-09-25,10343,2.52
2018-09-26,10569,4.18
2018-09-27,10555,4.08
2018-09-28,10548,4.02
2018-10-08,10112,0.82
2018-10-09,10091,0.67
2018-10-10,10024,0.18
2018-10-11,9587,-3.03
2018-10-12,9765,-1.73
2018-10-15,9681,-2.34
2018-10-16,9666,-2.45
2018-10-17,9684,-2.32
2018-10-18,9495,-3.71
2018-10-19,9663,-2.47
2018-10-22,10004,0.03
2018-10-23,9593,-2.99
2018-10-24,9697,-2.23
2018-10-25,9735,-1.95
2018-10-26,9641,-2.64
2018-10-29,9210,-5.8
2018-10-30,9293,-5.19
2018-10-31,9420,-4.26
2018-11-01,9518,-3.54
2018-11-02,9936,-0.47
2018-11-05,9764,-1.73
2018-11-06,9677,-2.37
2018-11-07,9633,-2.7
2018-11-08,9608,-2.88
2018-11-09,9422,-4.24
2018-11-12,9455,-4.0
2018-11-13,9531,-3.44
2018-11-14,9424,-4.23
2018-11-15,9533,-3.43
2018-11-16,9588,-3.03
2018-11-19,9756,-1.79
2018-11-20,9550,-3.3
2018-11-21,9542,-3.36
2018-11-22,9521,-3.52
2018-11-23,9317,-5.02
2018-11-26,9296,-5.17
2018-11-27,9247,-5.53
2018-11-28,9349,-4.78
2018-11-29,9290,-5.21
2018-11-30,9419,-4.27
2018-12-03,9747,-1.86
2018-12-04,9897,-0.76
2018-12-05,9867,-0.98
2018-12-06,9642,-2.63
2018-12-07,9634,-2.69
2018-12-10,9584,-3.06
2018-12-11,9614,-2.83
2018-12-12,9630,-2.72
2018-12-13,9779,-1.62
2018-12-14,9596,-2.97
2018-12-17,9621,-2.78
2018-12-18,9556,-3.26
2018-12-19,9358,-4.71
2018-12-20,9254,-5.48
2018-12-21,9070,-6.83
2018-12-24,9074,-6.8
2018-12-25,8966,-7.59
2018-12-26,8885,-8.19
2018-12-27,8890,-8.15
2018-12-28,9002,-7.33
2019-01-02,8974,-7.54
2019-01-03,8970,-7.56
2019-01-04,9268,-5.38
2019-01-07,9297,-5.16
2019-01-08,9259,-5.44
2019-01-09,9488,-3.76
2019-01-10,9490,-3.75
2019-01-11,9615,-2.83
2019-01-14,9580,-3.08
2019-01-15,9812,-1.38
2019-01-16,9860,-1.03
2019-01-17,9755,-1.8
2019-01-18,9920,-0.59
2019-01-21,9988,-0.09
2019-01-22,9848,-1.12
2019-01-23,9869,-0.96
2019-01-24,9939,-0.45
2019-01-25,10140,1.03
2019-01-28,10121,0.89
2019-01-29,10170,1.25
2019-01-30,10090,0.66
2019-01-31,10244,1.79
2019-02-01,10399,2.93
2019-02-11,10589,4.33
2019-02-12,10640,4.7
2019-02-13,10872,6.4
2019-02-14,10866,6.36
2019-02-15,10623,4.58
2019-02-18,10948,6.96
2019-02-19,10925,6.79
2019-02-20,10907,6.66
2019-02-21,10907,6.66
2019-02-22,11163,8.54
2019-02-25,11790,13.15
2019-02-26,11566,11.5
2019-02-27,11603,11.77
2019-02-28,11609,11.82
2019-03-01,11935,14.21
2019-03-04,11922,14.12
2019-03-05,11876,13.78
2019-03-06,11914,14.06
2019-03-07,11878,13.79
2019-03-08,11576,11.57
2019-03-11,11708,12.54
2019-03-12,11643,12.07
2019-03-13,11602,11.77
2019-03-14,11660,12.19
2019-03-15,11876,13.78
2019-03-18,12144,15.75
2019-03-19,12022,14.85
2019-03-20,12029,14.9
2019-03-21,12015,14.8
2019-03-22,12035,14.95
2019-03-25,11692,12.43
2019-03-26,11662,12.21
2019-03-27,11990,14.61
2019-03-28,11945,14.28
2019-03-29,12529,18.57
2019-04-01,12733,20.07
2019-04-02,12808,20.62
2019-04-03,13011,22.11
2019-04-04,13183,23.38
2019-04-08,13385,24.86
2019-04-09,13302,24.25
2019-04-10,13275,24.05
2019-04-11,13027,22.23
2019-04-12,12973,21.83
2019-04-15,12949,21.66
2019-04-16,13371,24.76
2019-04-17,13305,24.27
2019-04-18,13226,23.69
2019-04-19,13379,24.82
2019-04-22,13088,22.68
2019-04-23,13234,23.75
2019-04-24,13293,24.18
2019-04-25,13066,22.52
2019-04-26,12931,21.53
2019-04-29,13111,22.85
2019-04-30,13027,22.23
2019-05-06,12339,17.18
2019-05-07,12342,17.2
2019-05-08,12171,15.94
2019-05-09,11838,13.5
2019-05-10,12309,16.96
2019-05-13,12011,14.77
2019-05-14,12003,14.71
2019-05-15,12322,17.05
2019-05-16,12308,16.95
2019-05-17,12032,14.92
2019-05-20,11920,14.1
2019-05-21,12121,15.58
2019-05-22,12064,15.16
2019-05-23,11917,14.08
2019-05-24,11981,14.55
2019-05-27,12077,15.25
2019-05-28,12159,15.86
2019-05-29,12222,16.32
2019-05-30,12113,15.52
2019-05-31,12027,14.89
2019-06-03,12041,14.99
2019-06-04,11992,14.63
2019-06-05,12038,14.97
2019-06-06,11971,14.48
2019-06-10,12105,15.46
2019-06-11,12503,18.38
2019-06-12,12421,17.78
2019-06-13,12431,17.85
2019-06-14,12352,17.27
2019-06-17,12405,17.66
2019-06-18,12461,18.07
2019-06-19,12687,19.73
2019-06-20,13232,23.74
2019-06-21,13224,23.68
2019-06-24,13327,24.43
2019-06-25,13179,23.35
2019-06-26,13060,22.47
2019-06-27,13279,24.08
2019-06-28,13260,23.94
2019-07-01,13551,26.08
2019-07-02,13500,25.7
2019-07-03,13275,24.05
2019-07-04,13238,23.78
2019-07-05,13336,24.5
2019-07-08,13068,22.53
2019-07-09,13044,22.36
2019-07-10,13026,22.22
2019-07-11,13091,22.7
2019-07-12,13266,23.99
2019-07-15,13218,23.63
2019-07-16,13145,23.1
2019-07-17,13127,22.96
2019-07-18,13016,22.15
2019-07-19,13189,23.42
2019-07-22,13126,22.96
2019-07-23,13151,23.14
2019-07-24,13250,23.87
2019-07-25,13404,25.0
2019-07-26,13436,25.23
2019-07-29,13466,25.45
2019-07-30,13492,25.65
2019-07-31,13437,25.24
2019-08-01,13356,24.65
2019-08-02,13168,23.27
2019-08-05,12903,21.32
2019-08-06,12879,21.14
2019-08-07,12829,20.78
2019-08-08,13208,23.56
2019-08-09,13117,22.89
2019-08-12,13461,25.42
2019-08-13,13302,24.25
2019-08-14,13391,24.9
2019-08-15,13388,24.88
2019-08-16,13411,25.05
2019-08-19,13657,26.86
2019-08-20,13716,27.29
2019-08-21,13601,26.45
2019-08-22,13649,26.8
2019-08-23,13780,27.76
2019-08-26,13543,26.02
2019-08-27,13681,27.03
2019-08-28,13585,26.33
2019-08-29,13632,26.67
2019-08-30,13695,27.14
2019-09-02,13821,28.06
2019-09-03,13777,27.74
2019-09-04,13908,28.7
2019-09-05,14186,30.74
2019-09-06,14248,31.2
2019-09-09,14229,31.06
2019-09-10,14136,30.38
2019-09-11,14078,29.95
2019-09-12,14329,31.79
2019-09-16,14241,31.15
2019-09-17,14054,29.77
2019-09-18,14133,30.35
2019-09-19,14181,30.71
2019-09-20,14220,30.99
2019-09-23,14154,30.51
2019-09-24,14210,30.92
2019-09-25,14267,31.34
2019-09-26,14221,31.0
2019-09-27,14291,31.51
2019-09-30,14073,29.91
2019-10-08,14207,30.9
2019-10-09,14166,30.6
2019-10-10,14245,31.18
2019-10-11,14555,33.45
2019-10-14,14710,34.59
2019-10-15,14680,34.37
2019-10-16,14552,33.43
2019-10-17,14505,33.09
2019-10-18,14322,31.74
2019-10-21,14364,32.05
2019-10-22,14318,31.71
2019-10-23,14277,31.41
2019-10-24,14325,31.76
2019-10-25,14480,32.9
2019-10-28,14498,33.03
2019-10-29,14505,33.09
2019-10-30,14346,31.92
2019-10-31,14350,31.95
2019-11-01,14570,33.56
2019-11-04,14694,34.47
2019-11-05,14821,35.41
2019-11-06,14800,35.25
2019-11-07,14804,35.28
2019-11-08,14677,34.35
2019-11-11,14497,33.03
2019-11-12,14520,33.2
2019-11-13,14582,33.65
2019-11-14,14586,33.68
2019-11-15,14487,32.95
2019-11-18,14593,33.73
2019-11-19,14651,34.16
2019-11-20,14456,32.73
2019-11-21,14463,32.78
2019-11-22,14364,32.05
2019-11-25,14511,33.13
2019-11-26,14460,32.75
2019-11-27,14439,32.6
2019-11-28,14444,32.64
2019-11-29,14234,31.09
2019-12-02,14319,31.72
2019-12-03,14316,31.7
2019-12-04,14261,31.29
2019-12-05,14398,32.3
2019-12-06,14548,33.4
2019-12-09,14521,33.2
2019-12-10,14563,33.51
2019-12-11,14595,33.75
2019-12-12,14597,33.76
2019-12-13,14877,35.82
2019-12-16,14938,36.26
2019-12-17,15091,37.39
2019-12-18,15063,37.18
2019-12-19,15016,36.84
2019-12-20,15019,36.86
2019-12-23,14908,36.04
2019-12-24,14990,36.65
2019-12-25,14960,36.43
2019-12-26,14983,36.6
2019-12-27,15110,37.53
2019-12-30,15384,39.54
